optionArchive,dataElementArchive,comment,dataElementNouveau,categorieOptionComboNouveau
,MI7N1POR0lz,IMPORT_CUR_PALU TRANS_Palu Cas confirme de Paludisme enregistre par la (les) structure(s) < 5 ans_GE,Aps3ZQoFjs4,KRlV69Mk2uM
,GqX87E5GC41,IMPORT_CUR_PALU TRANS_Palu Cas confirme de Paludisme enregistre par la (les) structure(s) >= 5 ans_TDR,Aps3ZQoFjs4,xSkrOarkpsU
W0r8kqk8lmz:yIq2z0uTOQM,azpNCbgSjF3,IMPORT_CUR_PALU Palu Cas confirme de Paludisme chez les FE enregistre par la (les) structure(s),Aps3ZQoFjs4,P9fsoGl5Fu0
,HRBrbh0w3I9,IMPORT_CUR_PALU TRANS_Palu Cas confirme de Paludisme enregistre par la (les) structure(s) < 5 ans_TDR,Aps3ZQoFjs4,Rq1Q9GBqy0G
,tanl2AZBZO9,IMPORT_CUR_PALU TRANS_Palu Cas confirme de Paludisme enregistre par la (les) structure(s) >= 5 ans_TDR,Aps3ZQoFjs4,clReIzBCU10
W0r8kqk8lmz:v8FViyMOzAV,azpNCbgSjF3,IMPORT_CUR_PALU Palu Cas confirme de Paludisme chez les FE enregistre par la (les) structure(s),Aps3ZQoFjs4,odl5ueXctBl
pnM56UTzeV7:nTWh8M56c1S,JPUCOxp5uW0,IMPORT_CUR_PALU Palu Cas de paludisme traites avec CTA dans les structures,JPUCOxp5uW0,mb3bwlD8mGb
pnM56UTzeV7:NvSpE5FlV7l,JPUCOxp5uW0,IMPORT_CUR_PALU Palu Cas de paludisme traites avec CTA dans les structures,JPUCOxp5uW0,Jj664zsrBSS
,TLa3MtZmPXw,IMPORT_CUR_PALU Palu Cas de paludisme chez les FE traites avec CTA dans les structures,JPUCOxp5uW0,OYsmvyhK5NS
,oo8sVtNcp3q,IMPORT_CUR_PALU Palu Cas traites avec quinine (FE),mui4lqWpwgC,OYsmvyhK5NS
pnM56UTzeV7:nTWh8M56c1S,V1iTGoDWTy2,IMPORT_CUR_PALU Palu Cas grave de paludisme traites en Hospitalisation,V1iTGoDWTy2,mb3bwlD8mGb
pnM56UTzeV7:NvSpE5FlV7l,V1iTGoDWTy2,IMPORT_CUR_PALU Palu Cas grave de paludisme traites en Hospitalisation,V1iTGoDWTy2,Jj664zsrBSS
,OTpFPeMdU7H,IMPORT_CUR_PALU Palu Cas grave de paludisme chez les FE traites en Hospitalisation,V1iTGoDWTy2,OYsmvyhK5NS
pnM56UTzeV7:nTWh8M56c1S,jg7S0wWTM9J,IMPORT_CUR_PALU Palu Deces dus aux cas de Paludisme confirmes (TDR+ et GE+),jg7S0wWTM9J,mb3bwlD8mGb
pnM56UTzeV7:NvSpE5FlV7l,jg7S0wWTM9J,IMPORT_CUR_PALU Palu Deces dus aux cas de Paludisme confirmes (TDR+ et GE+),jg7S0wWTM9J,Jj664zsrBSS
,I6edvH2rEn3,IMPORT_CUR_PALU Palu Deces FE dus aux cas de Paludisme confirmes (TDR+ et GE+),jg7S0wWTM9J,OYsmvyhK5NS
